,0
985,Rockdale County
986,Rockingham County
987,Rockland County
988,Rockwall County
989,Rogers County
990,Roosevelt County
991,Roscommon County
992,Ross County
993,Routt County
994,Rowan County
995,Runnels County
996,Rush County
997,Rusk County
998,Russell County
999,Rutherford County
1000,Rutland County
1001,Sabine Parish
1002,Sacramento County
1003,Sagadahoc County
1004,Saginaw County
1005,Salem County
1006,Saline County
1007,Salt Lake County
1008,Saluda County
1009,Sampson County
1010,San Benito County
1011,San Bernardino County
1012,San Diego County
1013,San Francisco County
1014,San Jacinto County
1015,San Joaquin County
1016,San Juan County
1017,San Luis Obispo County
1018,San Mateo County
1019,San Miguel County
1020,San Patricio County
1021,Sandoval County
1022,Sandusky County
1023,Sangamon County
1024,Sanilac County
1025,Santa Barbara County
1026,Santa Clara County
1027,Santa Cruz County
1028,Santa Fe County
1029,Santa Rosa County
1030,Sarasota County
1031,Saratoga County
1032,Sarpy County
1033,Sauk County
1034,Saunders County
1035,Schenectady County
1036,Schoharie County
1037,Schuyler County
1038,Schuylkill County
1039,Scioto County
1040,Scotland County
1041,Scott County
1042,Scotts Bluff County
1043,Scurry County
1044,Sebastian County
1045,Sedgwick County
1046,Seminole County
1047,Seneca County
1048,Sequoyah County
1049,Sevier County
1050,Seward County
1051,Shasta County
1052,Shawano County
1053,Shawnee County
1054,Sheboygan County
1055,Shelby County
1056,Shenandoah County
1057,Sherburne County
1058,Sheridan County
1059,Shiawassee County
1060,Silver Bow County
1061,Simpson County
1062,Sioux County
1063,Siskiyou County
1064,Skagit County
1065,Smith County
1066,Smyth County
1067,Snohomish County
1068,Snyder County
1069,Socorro County
1070,Solano County
1071,Somerset County
1072,Somervell County
1073,Sonoma County
1074,Southampton County
1075,Spalding County
1076,Spartanburg County
1077,Spencer County
1078,Spokane County
1079,Spotsylvania County
1080,St. Charles County
1081,St. Clair County
1082,St. Croix County
1083,St. Francis County
1084,St. Francois County
1085,St. Johns County
1086,St. Joseph County
1087,St. Lawrence County
1088,St. Louis County
1089,St. Lucie County
1090,St. Mary's County
1091,Stafford County
1092,Stanislaus County
1093,Stanly County
1094,Stark County
1095,Starke County
1096,Starr County
1097,Ste. Genevieve County
1098,Stearns County
1099,Steele County
1100,Stephens County
1101,Stephenson County
1102,Steuben County
1103,Stevens County
1104,Stoddard County
1105,Stokes County
1106,Stone County
1107,Story County
1108,Strafford County
1109,Stutsman County
1110,Suffolk County
1111,Sullivan County
1112,Summit County
1113,Sumner County
1114,Sumter County
1115,Sunflower County
1116,Surry County
1117,Susquehanna County
1118,Sussex County
1119,Sutter County
1120,Sutton County
1121,Suwannee County
1122,Swain County
1123,Sweetwater County
1124,Talbot County
1125,Talladega County
1126,Tallapoosa County
1127,Taney County
1128,Tangipahoa Parish
1129,Taos County
1130,Tarrant County
1131,Tate County
1132,Tattnall County
1133,Taylor County
1134,Tazewell County
1135,Tehama County
1136,Teller County
1137,Terrebonne Parish
1138,Terry County
1139,Teton County
1140,Texas County
1141,Thomas County
1142,Thurston County
1143,Tift County
1144,Tillamook County
1145,Tioga County
1146,Tippah County
1147,Tippecanoe County
1148,Tipton County
1149,Tishomingo County
1150,Titus County
1151,Todd County
1152,Tolland County
1153,Tom Green County
1154,Tompkins County
1155,Tooele County
1156,Toombs County
1157,Torrance County
1158,Transylvania County
1159,Travis County
1160,Trempealeau County
1161,Trigg County
1162,Trinity County
1163,Troup County
1164,Trumbull County
1165,Tulare County
1166,Tulsa County
1167,Tunica County
1168,Tuolumne County
1169,Turner County
1170,Tuscaloosa County
1171,Tuscarawas County
1172,Tuscola County
1173,Twiggs County
1174,Twin Falls County
1175,Tyler County
1176,Uinta County
1177,Uintah County
1178,Ulster County
1179,Umatilla County
1180,Union County
1181,Union Parish
1182,Upshur County
1183,Upson County
1184,Upton County
1185,Utah County
1186,Uvalde County
1187,Val Verde County
1188,Valencia County
1189,Van Buren County
1190,Van Wert County
1191,Van Zandt County
1192,Vance County
1193,Vanderburgh County
1194,Venango County
1195,Ventura County
1196,Vermilion County
1197,Vermilion Parish
1198,Vermillion County
1199,Vernon County
1200,Vernon Parish
1201,Victoria County
1202,Vigo County
1203,Vilas County
1204,Volusia County
1205,Wabash County
1206,Wabasha County
1207,Wagoner County
1208,Wake County
1209,Wakulla County
1210,Waldo County
1211,Walker County
1212,Walla Walla County
1213,Waller County
1214,Walton County
1215,Walworth County
1216,Wapello County
1217,Ward County
1218,Ware County
1219,Warren County
1220,Warrick County
1221,Wasatch County
1222,Wasco County
1223,Waseca County
1224,Washington County
1225,Washington Parish
1226,Washita County
1227,Washoe County
1228,Washtenaw County
1229,Watauga County
1230,Waukesha County
1231,Waupaca County
1232,Waushara County
1233,Wayne County
1234,Weakley County
1235,Webb County
1236,Weber County
1237,Webster County
1238,Webster Parish
1239,Weld County
1240,Wells County
1241,Westchester County
1242,Westmoreland County
1243,Wexford County
1244,Wharton County
1245,Whatcom County
1246,Wheeler County
1247,White County
1248,Whiteside County
1249,Whitfield County
1250,Whitley County
1251,Whitman County
1252,Wichita County
1253,Wicomico County
1254,Wilbarger County
1255,Wilkes County
1256,Will County
1257,Willacy County
1258,Williams County
1259,Williamsburg County
1260,Williamson County
1261,Wilson County
1262,Windham County
1263,Windsor County
1264,Winkler County
1265,Winnebago County
1266,Winneshiek County
1267,Winona County
1268,Winston County
1269,Wise County
1270,Wood County
1271,Woodbury County
1272,Woodford County
1273,Woodward County
1274,Worcester County
1275,Worth County
1276,Wright County
1277,Wyandot County
1278,Wyandotte County
1279,Wyoming County
1280,Wythe County
1281,Yadkin County
1282,Yakima County
1283,Yalobusha County
1284,Yamhill County
1285,Yates County
1286,Yavapai County
1287,Yazoo County
1288,Yell County
1289,Yellowstone County
1290,Yoakum County
1291,Yolo County
1292,York County
1293,Young County
1294,Yuba County
1295,Yuma County
